msoa,estimated capacity
E02000219,576.80
E02000220,1368.99
E02000221,2287.91
E02000222,173.09
E02000223,79.37
E02000224,458.04
E02000225,31.41
E02000226,268.65
E02000227,554.03
E02000228,168.80
E02000229,162.67
E02000230,1523.61
E02000231,108.55
E02000232,496.38
E02000233,56.80
E02000234,1472.26
E02000235,251.98
E02000236,286.41
E02000237,507.18
E02000238,1270.56
E02000239,676.66
E02000240,220.49
E02000241,404.68
E02000242,836.48
E02000243,2008.27
E02000244,1018.35
E02000245,284.47
E02000246,54.60
E02000247,313.26
E02000248,850.60
E02000249,389.37
E02000250,35.01
E02000251,16.39
E02000252,1786.40
E02000253,482.11
E02000254,40.75
E02000255,356.44
E02000256,312.63
E02000257,869.05
E02000258,46.78
E02000259,144.53
E02000260,517.95
E02000261,400.49
E02000262,155.40
E02000263,520.11
E02000264,181.00
E02000265,305.30
E02000266,653.71
E02000267,171.50
E02000268,550.46
E02000269,419.68
E02000270,221.78
E02000271,211.81
E02000272,140.94
E02000274,191.68
E02000275,192.30
E02000276,290.09
E02000277,0.00
E02000278,87.97
E02000279,1155.82
E02000280,2700.10
E02000281,282.17
E02000282,163.65
E02000283,64.97
E02000284,421.04
E02000285,29.39
E02000286,863.59
E02000287,14203.39
E02000288,3237.83
E02000289,92.58
E02000290,2096.41
E02000291,791.46
E02000292,2500.85
E02000293,192.54
E02000294,713.29
E02000295,470.46
E02000296,1362.36
E02000297,102.30
E02000298,470.05
E02000299,17.19
E02000300,136.26
E02000301,251.81
E02000302,161.12
E02000303,0.00
E02000304,266.03
E02000305,133.06
E02000306,904.69
E02000307,60.89
E02000308,666.39
E02000309,2552.36
E02000311,174.51
E02000312,25.07
E02000313,0.00
E02000314,1896.83
E02000315,475.99
E02000316,2054.54
E02000317,57.87
E02000318,102.34
E02000319,383.07
E02000320,53.40
E02000321,29.00
E02000323,173.88
E02000324,735.44
E02000326,94.36
E02000327,999.44
E02000328,265.93
E02000329,201.53
E02000331,159.68
E02000332,387.67
E02000333,96.43
E02000334,70.14
E02000335,2.98
E02000337,83.08
E02000339,663.79
E02000340,2129.01
E02000341,766.68
E02000342,385.39
E02000343,210.61
E02000344,454.57
E02000345,0.00
E02000346,131.62
E02000347,11.69
E02000348,259.96
E02000350,19.73
E02000351,0.00
E02000352,81.60
E02000353,28.57
E02000354,82.57
E02000355,61.91
E02000356,90.14
E02000357,629.60
E02000358,211.12
E02000359,456.68
E02000360,22.12
E02000361,520.15
E02000362,872.58
E02000363,207.20
E02000364,320.16
E02000365,390.16
E02000366,49.84
E02000367,319.95
E02000368,105.95
E02000369,128.40
E02000370,125.54
E02000371,650.73
E02000372,1422.56
E02000373,0.00
E02000374,49.35
E02000375,33.58
E02000376,86.40
E02000377,112.47
E02000378,292.45
E02000379,201.40
E02000380,47.41
E02000381,351.00
E02000382,51.61
E02000383,333.46
E02000384,79.25
E02000385,81.34
E02000386,69.47
E02000387,0.00
E02000388,184.56
E02000389,0.00
E02000390,26.25
E02000391,139.12
E02000392,161.43
E02000393,1.51
E02000394,215.90
E02000395,329.60
E02000396,263.92
E02000397,126.38
E02000398,72.29
E02000400,50.71
E02000401,164.43
E02000402,33.71
E02000403,565.70
E02000404,43.41
E02000405,1650.14
E02000406,14.48
E02000407,147.26
E02000408,218.56
E02000409,61.80
E02000410,87.00
E02000411,145.01
E02000412,990.07
E02000413,64.54
E02000414,302.47
E02000415,217.43
E02000416,389.19
E02000417,316.09
E02000418,235.22
E02000419,58.78
E02000420,172.03
E02000421,656.45
E02000422,179.54
E02000423,115.60
E02000424,99.92
E02000425,0.00
E02000426,190.04
E02000427,785.95
E02000428,172.65
E02000429,329.52
E02000430,102.50
E02000431,128.17
E02000432,79.25
E02000433,204.40
E02000434,651.92
E02000435,100.01
E02000436,903.35
E02000437,404.81
E02000438,652.28
E02000439,32.04
E02000440,79.56
E02000441,292.98
E02000442,416.23
E02000443,58.35
E02000444,0.00
E02000445,1258.27
E02000447,251.74
E02000448,1206.87
E02000449,0.00
E02000451,148.13
E02000452,947.59
E02000453,77.65
E02000454,29.54
E02000455,469.15
E02000456,180.40
E02000457,294.62
E02000459,737.99
E02000460,93.98
E02000461,719.21
E02000462,166.21
E02000463,15.74
E02000464,147.19
E02000465,33.41
E02000466,582.17
E02000467,229.82
E02000468,215.43
E02000469,24.62
E02000470,1107.02
E02000471,424.84
E02000472,252.46
E02000473,23.61
E02000474,930.91
E02000475,211.31
E02000476,4234.77
E02000477,61.09
E02000478,0.00
E02000479,1688.89
E02000480,1591.97
E02000481,934.91
E02000482,844.28
E02000483,2168.96
E02000484,806.73
E02000485,639.67
E02000486,500.03
E02000487,959.99
E02000488,720.20
E02000489,873.84
E02000490,583.45
E02000491,20944.24
E02000492,957.93
E02000493,1778.01
E02000494,1807.91
E02000495,1320.96
E02000496,1405.64
E02000497,253.88
E02000498,1087.89
E02000499,400.68
E02000500,804.43
E02000501,123.97
E02000502,821.95
E02000503,487.52
E02000504,272.90
E02000506,1556.64
E02000507,73.17
E02000508,2969.61
E02000509,1133.77
E02000510,1089.04
E02000511,0.00
E02000512,25.93
E02000513,180.12
E02000514,0.00
E02000515,978.65
E02000516,1538.31
E02000517,302.62
E02000518,1323.73
E02000519,198.58
E02000520,1345.68
E02000521,1613.94
E02000522,300.34
E02000523,349.30
E02000524,34475.57
E02000525,11924.33
E02000526,65.90
E02000528,1911.44
E02000529,38.22
E02000530,3138.93
E02000531,1895.92
E02000532,528.37
E02000533,13.76
E02000534,4662.12
E02000535,447.13
E02000536,18.07
E02000537,343.79
E02000538,1458.27
E02000539,213.46
E02000540,158.77
E02000541,638.39
E02000542,610.37
E02000543,937.36
E02000544,253.90
E02000545,1367.77
E02000546,1798.21
E02000547,1248.18
E02000548,2937.52
E02000549,2224.49
E02000550,1185.41
E02000551,1598.99
E02000552,1278.21
E02000553,590.55
E02000554,1.56
E02000555,67.95
E02000556,45.60
E02000557,324.17
E02000558,90.28
E02000559,5.67
E02000560,326.85
E02000561,81.60
E02000562,136.86
E02000563,136.64
E02000564,313.67
E02000565,262.44
E02000566,217.15
E02000567,197.46
E02000568,403.95
E02000569,272.07
E02000570,78.55
E02000571,83.59
E02000572,153.74
E02000573,96.90
E02000574,422.91
E02000575,234.51
E02000576,320.14
E02000577,836.21
E02000578,81.83
E02000579,275.75
E02000580,17.38
E02000581,48.63
E02000582,28.52
E02000583,0.00
E02000584,633.71
E02000585,144.79
E02000586,101.77
E02000587,80.12
E02000588,320.81
E02000589,155.63
E02000590,130.09
E02000591,189.92
E02000592,85.04
E02000593,20.63
E02000594,161.99
E02000595,223.48
E02000596,43.62
E02000597,226.92
E02000598,244.48
E02000599,471.56
E02000600,208.21
E02000601,704.59
E02000602,374.17
E02000603,422.94
E02000604,1319.88
E02000605,247.08
E02000606,1095.08
E02000607,1.80
E02000608,396.93
E02000609,58.49
E02000610,512.98
E02000611,51.45
E02000612,442.32
E02000613,81.91
E02000614,939.02
E02000615,96.36
E02000616,81.72
E02000617,6681.90
E02000619,376.59
E02000620,351.23
E02000621,0.00
E02000622,51.59
E02000623,0.00
E02000624,6.27
E02000625,42.20
E02000626,206.24
E02000627,66.45
E02000628,172.21
E02000629,45.33
E02000630,51.10
E02000631,204.07
E02000632,0.00
E02000633,327.53
E02000634,103.14
E02000635,42.71
E02000636,148.95
E02000637,0.99
E02000638,300.89
E02000639,14.28
E02000640,2.80
E02000641,27.52
E02000642,71.51
E02000643,64.26
E02000644,83.66
E02000645,31.10
E02000646,98.33
E02000647,116.49
E02000648,20.17
E02000649,71.00
E02000650,41.30
E02000651,410.27
E02000652,87.85
E02000653,248.06
E02000654,90.72
E02000655,683.25
E02000657,92.41
E02000658,20.00
E02000659,147.01
E02000660,221.74
E02000661,421.91
E02000662,44.22
E02000663,12.04
E02000664,1309.41
E02000665,202.81
E02000666,45.81
E02000667,0.00
E02000668,50.91
E02000669,0.00
E02000670,30.93
E02000671,0.00
E02000672,1199.44
E02000673,140.75
E02000674,0.00
E02000675,497.53
E02000676,0.00
E02000677,482.16
E02000678,82.67
E02000679,164.03
E02000680,0.00
E02000681,1068.86
E02000682,51.04
E02000683,16.03
E02000685,99.38
E02000686,1347.60
E02000687,162.20
E02000689,417.06
E02000690,542.29
E02000691,433.44
E02000692,378.82
E02000693,2311.45
E02000694,169.77
E02000695,0.00
E02000696,152.44
E02000697,486.74
E02000698,539.62
E02000699,482.00
E02000700,180.40
E02000701,174.27
E02000702,88.06
E02000703,589.77
E02000704,2632.38
E02000705,165.90
E02000706,404.31
E02000707,53.54
E02000708,1741.21
E02000709,260.43
E02000710,768.71
E02000711,1114.71
E02000712,726.07
E02000713,353.87
E02000714,379.83
E02000715,2.27
E02000716,224.12
E02000717,327.48
E02000718,66.54
E02000719,603.29
E02000720,49.65
E02000721,441.48
E02000722,673.17
E02000723,62.01
E02000724,24.35
E02000725,2975.03
E02000726,10185.84
E02000727,191.12
E02000728,4.04
E02000729,155.78
E02000730,151.00
E02000731,125.02
E02000732,0.00
E02000733,895.94
E02000734,501.66
E02000735,417.03
E02000736,861.81
E02000737,39.65
E02000738,5.46
E02000739,74.34
E02000740,1178.00
E02000741,1109.94
E02000742,200.93
E02000743,84.02
E02000744,224.31
E02000745,185.63
E02000746,8481.92
E02000747,1135.03
E02000748,902.75
E02000749,1924.76
E02000750,3431.74
E02000751,865.89
E02000752,1009.08
E02000753,62.60
E02000754,107.47
E02000755,111.70
E02000756,1407.32
E02000757,698.16
E02000758,74.67
E02000759,398.30
E02000760,186.78
E02000762,90.20
E02000763,1925.05
E02000764,653.18
E02000765,339.84
E02000767,829.96
E02000768,232.88
E02000769,535.95
E02000770,0.00
E02000772,1295.07
E02000773,0.00
E02000774,0.00
E02000776,158.63
E02000777,703.11
E02000779,8.00
E02000780,120.75
E02000781,101.61
E02000782,825.75
E02000783,0.00
E02000784,1034.34
E02000785,794.64
E02000786,139.15
E02000787,1503.84
E02000788,72.17
E02000789,193.55
E02000790,107.88
E02000791,1055.97
E02000792,262.52
E02000793,228.95
E02000794,3161.72
E02000795,2054.87
E02000796,228.27
E02000797,1047.66
E02000798,1190.28
E02000799,156.35
E02000800,632.10
E02000801,1094.60
E02000802,373.26
E02000803,1228.00
E02000804,2505.08
E02000805,813.94
E02000806,1372.50
E02000807,95.81
E02000808,140.63
E02000809,536.91
E02000810,336.89
E02000812,128.40
E02000813,900.53
E02000814,931.51
E02000815,133.99
E02000816,94.19
E02000817,332.20
E02000818,211.11
E02000819,692.34
E02000820,23.40
E02000821,101.89
E02000822,71.89
E02000823,85.80
E02000824,1076.74
E02000825,199.45
E02000826,47.14
E02000827,395.30
E02000828,1033.49
E02000829,251.72
E02000830,283.18
E02000831,244.62
E02000832,20.91
E02000833,457.28
E02000834,60.67
E02000835,0.00
E02000836,50.00
E02000837,345.94
E02000838,0.00
E02000839,260.74
E02000840,258.82
E02000841,1112.54
E02000842,1036.59
E02000843,1990.08
E02000844,325.62
E02000845,462.75
E02000846,316.42
E02000847,54.51
E02000848,578.77
E02000849,727.93
E02000850,4151.76
E02000851,1430.66
E02000852,251.59
E02000853,236.34
E02000854,478.72
E02000855,512.57
E02000856,634.20
E02000857,269.76
E02000858,299.68
E02000859,659.25
E02000860,1021.91
E02000861,1027.14
E02000863,973.43
E02000864,254.57
E02000865,140.40
E02000866,355.85
E02000867,492.46
E02000868,54.21
E02000869,173.14
E02000870,210.93
E02000871,729.34
E02000872,249.42
E02000873,340.99
E02000874,68.21
E02000875,490.12
E02000876,444.59
E02000877,273.52
E02000878,533.53
E02000879,148.47
E02000880,315.10
E02000881,105.58
E02000882,226.79
E02000883,0.00
E02000884,992.29
E02000885,260.52
E02000886,121.82
E02000887,155.82
E02000888,149.06
E02000889,289.74
E02000890,53.57
E02000891,1816.45
E02000893,700.61
E02000894,162.91
E02000895,498.22
E02000896,1049.03
E02000897,173.41
E02000898,563.45
E02000899,350.07
E02000900,2387.98
E02000901,857.50
E02000902,417.75
E02000903,280.12
E02000904,796.47
E02000905,570.44
E02000906,41.24
E02000907,318.48
E02000908,801.92
E02000909,287.33
E02000910,288.26
E02000911,409.35
E02000912,351.88
E02000913,906.08
E02000914,686.11
E02000915,638.58
E02000916,503.18
E02000917,89.85
E02000918,505.38
E02000919,8.96
E02000920,1681.64
E02000921,762.11
E02000922,237.32
E02000923,931.78
E02000924,574.93
E02000925,211.40
E02000926,431.56
E02000927,91.36
E02000928,0.00
E02000929,179.27
E02000930,348.05
E02000931,0.00
E02000932,122.24
E02000933,51.98
E02000934,279.31
E02000935,469.24
E02000936,90.11
E02000937,12.15
E02000938,723.28
E02000939,53.93
E02000940,2156.64
E02000941,12.10
E02000942,165.97
E02000943,381.56
E02000944,40.58
E02000945,774.12
E02000946,159.77
E02000947,106.54
E02000948,177.91
E02000949,458.40
E02000950,171.47
E02000951,70.71
E02000952,10.00
E02000953,67.77
E02000954,37.94
E02000955,0.00
E02000956,1130.61
E02000957,294.66
E02000958,50.41
E02000959,0.00
E02000960,85.65
E02000961,326.84
E02000962,257.09
E02000963,98.45
E02000964,130.93
E02000965,293.76
E02000966,408.12
E02000967,362.34
E02000968,381.63
E02000969,974.37
E02000970,546.11
E02000971,942.62
E02000972,516.62
E02000973,269.70
E02000974,105.43
E02000975,278.77
E02000976,9.37
E02000977,1317.54
E02000978,1627.86
E02000979,472.36
E02000980,148.57
E02000981,33.46
E02000982,357.44
E02000983,110.22
E02000984,629.99
E02000985,1336.10
E02000986,272.56
E02000987,697.82
E02000988,1903.89
E02000989,521.41
E02000990,7927.80
E02000991,533.28
E02000992,880.24
E02000993,835.80
E02000994,367.50
E02000995,670.16
E02000996,536.60
E02000997,3706.66
E02000998,1319.76
E02000999,10564.90
E02001000,294.09
E02001001,461.42
E02001002,1275.11
E02001003,872.17
E02001004,997.08
E02001005,2737.31
E02001006,99.10
E02001007,491.11
E02001008,91.22
E02001009,1232.25
E02001010,293.78
E02001011,767.38
E02001012,1695.80
E02001013,449.86
E02001014,2444.01
E02001015,583.95
E02001016,246.10
E02001017,331.11
E02001018,58.72
E02001019,1296.43
E02001020,172.35
E02001021,416.14
E02001022,325.73
E02001023,194.46
E02001024,26.91
E02001025,1425.55
E02001026,4250.10
E02001027,664.24
E02001028,228.33
E02001029,1486.54
E02001030,381.41
E02001031,2512.08
E02001032,37.82
E02001033,446.76
E02001034,1698.88
E02001035,392.78
E02001036,834.54
E02001037,311.42
E02001038,1226.54
E02001039,454.59
E02001040,1788.37
E02001041,173.08
E02001042,686.65
E02001043,368.94
E02001044,578.40
E02001045,825.88
E02001046,513.14
E02001047,1132.34
E02001048,1841.31
E02001049,310.15
E02001050,3576.97
E02001051,76.30
E02001052,2030.90
E02001053,710.85
E02001055,1365.92
E02001056,71.39
E02001057,1243.07
E02001059,8587.12
E02001061,1877.99
E02001062,2888.83
E02001063,4970.02
E02001064,5970.64
E02001065,749.47
E02001066,531.52
E02001067,364.45
E02001068,194.84
E02001069,327.84
E02001070,787.92
E02001071,195.30
E02001072,483.82
E02001073,613.87
E02001074,1085.97
E02001075,582.37
E02001076,1106.11
E02001077,608.55
E02001078,303.76
E02001079,285.74
E02001080,261.39
E02001081,246.70
E02001082,372.37
E02001083,1242.45
E02001084,433.14
E02001085,602.40
E02001086,901.15
E02001087,862.90
E02001088,104.42
E02001089,2366.91
E02001090,2048.68
E02001091,1041.31
E02001092,597.57
E02001093,567.47
E02001094,1540.45
E02001095,4492.12
E02001096,20047.52
E02001097,16533.36
E02001098,91.87
E02001099,69.54
E02001100,842.83
E02001101,57.57
E02001102,82.13
E02001103,468.62
E02001104,251.68
E02001105,1716.03
E02001106,151.18
E02001107,344.79
E02001108,352.04
E02001109,241.58
E02001110,661.79
E02001111,852.90
E02001112,3484.46
E02001113,3926.91
E02001114,484.61
E02001115,134.59
E02001116,203.32
E02001117,1195.22
E02001118,160.88
E02001119,0.00
E02001121,251.66
E02001123,0.00
E02001124,62.63
E02001125,2832.76
E02001126,261.14
E02001127,143.29
E02001128,924.00
E02001129,807.06
E02001130,866.43
E02001131,0.00
E02001132,156.77
E02001133,325.82
E02001134,1124.54
E02001135,207.49
E02001136,337.74
E02001137,561.29
E02001138,303.98
E02001139,476.61
E02001140,196.38
E02001141,3772.03
E02001142,374.72
E02001143,1206.32
E02001144,374.39
E02001145,243.24
E02001146,1576.52
E02001147,378.65
E02001148,2465.14
E02001149,1007.50
E02001150,1342.32
E02001151,1821.19
E02001152,1809.29
E02001153,1188.63
E02001154,431.92
E02001155,3237.40
E02001156,721.63
E02001157,259.39
E02001158,61.43
E02001159,106.08
E02001160,12.44
E02001161,1098.28
E02001162,298.88
E02001163,444.30
E02001164,630.54
E02001165,625.10
E02001166,152.87
E02001167,235.37
E02001168,1062.33
E02001169,1563.17
E02001170,222.06
E02001171,83.52
E02001172,1090.16
E02001173,2042.65
E02001174,320.10
E02001175,321.01
E02001176,1290.89
E02001177,4177.48
E02001178,7648.56
E02001179,226.02
E02001180,2612.03
E02001181,481.01
E02001182,1101.68
E02001183,1676.71
E02001184,17713.26
E02001185,1212.33
E02001186,1305.03
E02001187,51.45
E02001188,203.91
E02001189,1323.07
E02001190,187.34
E02001191,40.40
E02001192,777.79
E02001193,1161.01
E02001194,524.71
E02001195,699.58
E02001196,540.95
E02001197,2826.67
E02001198,163.89
E02001199,201.02
E02001200,9471.06
E02001201,742.14
E02001202,3660.62
E02001203,528.22
E02001204,1818.19
E02001205,3519.91
E02001206,1215.10
E02001207,389.68
E02001208,2789.19
E02001209,320.06
E02001210,222.57
E02001211,281.55
E02001212,1373.96
E02001213,1375.03
E02001214,656.36
E02001215,946.70
E02001216,1960.05
E02001217,2010.44
E02001218,65.79
E02001219,401.08
E02001220,1596.79
E02001221,585.66
E02001222,3291.87
E02001223,526.39
E02001224,482.32
E02001225,1240.46
E02001226,354.69
E02001227,193.88
E02001228,1454.32
E02001229,376.53
E02001230,184.51
E02001231,272.60
E02001232,17.81
E02001233,350.40
E02001234,111.63
E02001235,850.11
E02001236,421.99
E02001237,321.60
E02001238,426.22
E02001239,689.73
E02001240,17.14
E02001241,9542.74
E02001242,279.36
E02001243,1212.67
E02001244,621.20
E02001245,456.39
E02001246,0.00
E02001247,728.81
E02001248,355.50
E02001249,2357.16
E02001250,528.23
E02001251,149.95
E02001252,504.48
E02001253,3619.51
E02001254,288.90
E02001255,716.99
E02001256,1521.39
E02001257,143.16
E02001258,270.21
E02001259,3367.53
E02001260,23048.49
E02001261,6751.86
E02001262,2794.35
E02001263,2112.09
E02001264,7167.82
E02001265,439.50
E02001266,1233.40
E02001267,872.60
E02001268,701.40
E02001269,1040.82
E02001270,2016.58
E02001271,830.85
E02001272,1752.16
E02001273,2915.18
E02001274,478.19
E02001275,3529.81
E02001276,222.51
E02001277,3676.72
E02001278,1751.58
E02001279,268.75
E02001280,421.70
E02001281,791.27
E02001282,5100.21
E02001283,4270.31
E02001284,46.01
E02001285,831.95
E02001286,1001.71
E02001287,1220.61
E02001288,853.02
E02001289,359.75
E02001290,1181.68
E02001291,113.90
E02001292,1316.25
E02001293,231.59
E02001294,3615.11
E02001295,928.08
E02001296,5051.30
E02001297,936.12
E02001298,723.89
E02001299,705.92
E02001300,1031.93
E02001301,4674.09
E02001302,94.26
E02001303,300.15
E02001304,1609.46
E02001305,163.98
E02001306,964.89
E02001307,455.11
E02001308,456.67
E02001309,882.37
E02001310,119.50
E02001311,149.43
E02001312,303.72
E02001313,1422.63
E02001314,101.97
E02001315,214.34
E02001316,3659.45
E02001317,663.30
E02001318,293.48
E02001319,545.64
E02001320,130.86
E02001321,62.61
E02001322,554.88
E02001323,1307.77
E02001324,730.55
E02001325,0.00
E02001326,596.18
E02001327,511.03
E02001328,155.76
E02001329,1660.08
E02001330,524.83
E02001331,1850.68
E02001332,239.76
E02001333,3200.13
E02001334,302.58
E02001335,2521.43
E02001336,1309.04
E02001337,966.89
E02001338,125.34
E02001339,683.80
E02001340,98.50
E02001341,1756.36
E02001342,1361.99
E02001343,687.49
E02001344,164.53
E02001345,29.06
E02001346,2702.27
E02001347,105.00
E02001348,0.00
E02001349,277.85
E02001350,4117.64
E02001351,1236.28
E02001352,734.03
E02001353,0.00
E02001354,634.01
E02001355,638.20
E02001356,580.36
E02001357,61.34
E02001358,694.49
E02001359,27.05
E02001360,746.87
E02001361,1.76
E02001362,21.01
E02001363,452.47
E02001364,1288.36
E02001365,9.86
E02001366,139.14
E02001367,0.00
E02001368,1073.05
E02001369,1267.70
E02001370,109.09
E02001371,85.82
E02001372,1792.19
E02001373,1683.55
E02001374,4240.47
E02001375,0.00
E02001376,504.19
E02001377,4540.52
E02001378,197.05
E02001380,265.15
E02001381,2043.50
E02001382,30.74
E02001383,1205.71
E02001384,947.03
E02001385,57.81
E02001386,1480.03
E02001387,338.03
E02001388,614.89
E02001389,102.86
E02001390,973.66
E02001391,0.00
E02001392,162.23
E02001393,754.64
E02001394,472.37
E02001395,873.65
E02001396,3152.34
E02001397,702.01
E02001398,1158.67
E02001399,465.97
E02001400,677.32
E02001401,3250.02
E02001402,475.05
E02001403,266.61
E02001404,19467.31
E02001405,1472.20
E02001406,1076.90
E02001407,446.92
E02001408,250.98
E02001409,219.86
E02001410,1831.59
E02001411,197.41
E02001412,835.32
E02001413,500.53
E02001414,130.89
E02001415,250.48
E02001416,522.58
E02001417,4829.95
E02001418,1212.34
E02001419,3735.24
E02001420,2329.82
E02001421,128.67
E02001422,216.41
E02001423,311.55
E02001424,6023.90
E02001425,865.52
E02001426,286.52
E02001427,869.79
E02001428,253.10
E02001429,187.25
E02001430,527.33
E02001431,222.15
E02001432,6276.74
E02001433,154.16
E02001434,1376.21
E02001435,701.63
E02001436,3235.23
E02001437,3117.68
E02001438,287.34
E02001439,511.74
E02001440,916.35
E02001441,1028.62
E02001442,1297.39
E02001443,954.57
E02001444,897.82
E02001445,0.00
E02001446,287.03
E02001447,385.84
E02001448,298.73
E02001449,444.37
E02001450,773.50
E02001451,100.00
E02001452,196.09
E02001453,221.53
E02001454,408.03
E02001455,1529.00
E02001456,339.05
E02001457,2207.55
E02001458,279.93
E02001459,36.08
E02001460,251.34
E02001461,93.76
E02001462,685.79
E02001463,468.87
E02001464,212.17
E02001465,2096.83
E02001466,469.99
E02001467,1511.10
E02001468,55.94
E02001469,870.30
E02001470,615.07
E02001471,46.62
E02001472,1572.53
E02001473,938.69
E02001474,2666.16
E02001475,1263.11
E02001476,502.31
E02001477,2668.78
E02001478,531.27
E02001479,532.65
E02001480,649.47
E02001481,170.40
E02001482,8799.68
E02001483,403.32
E02001484,1981.26
E02001485,339.10
E02001486,151.71
E02001487,2021.25
E02001488,339.73
E02001489,667.94
E02001490,1280.92
E02001491,2655.19
E02001492,929.30
E02001493,618.44
E02001494,549.65
E02001495,148.28
E02001496,0.00
E02001497,733.26
E02001498,665.84
E02001499,1088.06
E02001500,588.03
E02001501,258.21
E02001502,3099.85
E02001503,1484.46
E02001504,2940.75
E02001505,2433.25
E02001506,379.44
E02001507,508.15
E02001508,853.41
E02001509,358.03
E02001510,369.89
E02001511,511.50
E02001512,820.32
E02001513,1214.63
E02001514,382.51
E02001515,443.63
E02001516,760.41
E02001517,1357.15
E02001518,889.85
E02001519,575.33
E02001520,4260.18
E02001521,5049.67
E02001522,103.17
E02001523,3708.99
E02001524,1807.81
E02001525,325.15
E02001526,653.57
E02001527,2113.77
E02001528,707.79
E02001529,621.94
E02001530,189.29
E02001531,727.08
E02001532,1210.45
E02001533,43.85
E02001534,688.01
E02001535,2493.63
E02001536,6637.77
E02001537,524.26
E02001538,23.11
E02001539,80.30
E02001540,845.24
E02001541,316.12
E02001542,195.83
E02001543,393.04
E02001544,179.57
E02001545,199.31
E02001546,2104.71
E02001547,384.10
E02001548,173.89
E02001549,1247.43
E02001550,440.94
E02001551,1146.23
E02001552,844.75
E02001553,1502.07
